experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,energy_cost_model,oracle_tier,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_iter,x_alpha,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length
phase1-static,taker,2026-08-14T22:32:42.919145+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3277.8521357203485,127.85213572034854,exact-milp/taker,GRB,OPTIMAL,3277.8521357203485,3277.8521357203485,0.0,3101.9999999999995,175.852135720349,4.926974534988403,0.06195569038391113,2350,888,2787,160.1002357203487,143.97618572034872,3310.100235720349,3293.976185720349,98.29999999999998,s0_n12_duck_b0.01_a1,,,,,,,
phase1-static,strategic,2026-08-14T22:32:49.646610+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,b36268a602df,3,150.0,98.3,3150.0,3280.00526709884,130.0052670988398,exact-milp/strategic-pwl16,GRB,OPTIMAL,3280.00526709884,3280.00526709884,0.0,3101.999999999999,178.0052670988407,6.5780651569366455,0.05205178260803223,2378,888,3235,157.47976709883972,143.74251709883967,3307.4797670988396,3293.7425170988395,98.3,s0_n12_duck_b0.01_a1,,,,,,,
phase1-static,dictator,2026-08-14T22:32:56.070648+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,242fe1690a9a,3,150.0,98.3,3150.0,3280.00526709884,130.0052670988398,exact-milp/dictator-pwl16,GRB,OPTIMAL,3280.00526709884,3280.00526709884,0.0,3101.999999999999,178.0052670988407,6.284683704376221,0.043805837631225586,2378,888,3235,157.42576709883969,143.71551709883968,3307.4257670988395,3293.71551709884,98.3,s0_n12_duck_b0.01_a1,,,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:27.630247+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3474.4521357203494,324.45213572034936,exact-milp/taker,GRB,OPTIMAL,3474.4521357203494,3474.4521357203494,0.0,3102.0000000000014,372.452135720348,9.34769582748413,0.04884815216064453,2350,888,2787,485.6926357203487,405.0723857203487,3635.692635720349,3555.072385720349,98.29999999999998,loop,0,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:39.593633+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,213ceaf9c686,3,150.0,98.3,3150.0,3517.9035602484414,367.9035602484414,exact-milp/taker,GRB,OPTIMAL,3517.9035602484414,3517.9035602484414,0.0,3102.0,415.9035602484414,11.812485218048096,0.0507349967956543,2350,888,2787,499.7198102484412,419.1055602484412,3649.7198102484413,3569.105560248441,98.3,loop,1,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:52.329903+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1243aab3f8bd,3,150.0,98.3,3150.0,3516.5933123397554,366.59331233975536,exact-milp/taker,GRB,OPTIMAL,3516.5933123397554,3516.5933123397554,0.0,3101.9999999999995,414.5933123397558,12.45701003074646,0.048682451248168945,2350,888,2787,597.4063123397555,462.25506233975545,3747.4063123397555,3612.2550623397556,98.3,loop,2,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:34:03.345993+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,213ceaf9c686,3,150.0,98.3,3150.0,3536.151497748441,386.1514977484412,exact-milp/taker,GRB,OPTIMAL,3536.151497748441,3536.151497748441,0.0,3102.0,434.1514977484412,10.881596803665161,0.046247005462646484,2350,888,2787,499.7198102484412,419.1055602484412,3649.7198102484413,3569.105560248441,98.3,loop,3,0.5,,,,cycle,2
phase1-static,uncontrolled,2026-08-14T22:32:38.373904+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1890e8ca64fe,3,150.0,98.3,3150.0,3270.286472370294,120.28647237029418,policy/uncontrolled-charge-on-arrival,GRB,OPTIMAL,3270.286472370294,3270.286472370294,0.0,3101.999999999999,168.2864723702951,4.506903409957886,0.04932141304016113,2350,888,2787,495.3080271834014,414.6937771834014,3645.3080271834015,3564.6937771834014,98.3,s0_n12_duck_b0.05_a0.5,,,,,,,
phase1-static,taker,2026-08-14T22:32:49.272301+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3474.4521357203494,324.45213572034936,exact-milp/taker,GRB,OPTIMAL,3474.4521357203494,3474.4521357203494,0.0,3101.9999999999995,372.4521357203498,10.749782085418701,0.04857373237609863,2350,888,2787,485.6926357203487,405.0723857203487,3635.692635720349,3555.072385720349,98.29999999999998,s0_n12_duck_b0.05_a0.5,,,,,,,
phase1-static,strategic,2026-08-14T22:33:02.814334+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,433b4304df9f,3,150.0,98.3,3150.0,3476.6052670988397,326.6052670988397,exact-milp/strategic-pwl16,GRB,OPTIMAL,3476.6052670988397,3476.6052670988397,0.0,3101.999999999999,374.6052670988406,13.40786862373352,0.03985595703125,2378,888,3235,463.70776709883967,395.1565170988397,3613.7077670988397,3545.1565170988397,98.3,s0_n12_duck_b0.05_a0.5,,,,,,,
phase1-static,dictator,2026-08-14T22:33:18.145533+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50877,15,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,b36268a602df,3,150.0,98.3,3150.0,3476.6052670988392,326.60526709883925,exact-milp/dictator-pwl16,GRB,OPTIMAL,3476.6052670988392,3476.6052670988392,0.0,3101.999999999999,374.60526709884016,15.190561771392822,0.042447566986083984,2378,888,3235,463.97776709883965,395.2915170988397,3613.9777670988396,3545.29151709884,98.3,s0_n12_duck_b0.05_a0.5,,,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:20.247560+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50876,14,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3474.4521357203494,324.45213572034936,exact-milp/taker,GRB,OPTIMAL,3474.4521357203494,3474.4521357203494,0.0,3101.9999999999995,372.4521357203498,11.485538244247437,0.04460597038269043,2350,888,2787,485.6926357203487,405.0723857203487,3635.692635720349,3555.072385720349,98.29999999999998,loop,0,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:31.367564+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50876,14,syn-s0-n12,00b39b5d48ce,12,6,5fc0b4ab33b1,d78561176c8e,3,176.0,103.5,3176.0,3543.111348637157,367.1113486371569,exact-milp/taker,GRB,OPTIMAL,3543.111348637157,3543.111348637157,0.0,3101.999999999999,441.1113486371578,10.979931116104126,0.04326272010803223,2350,888,2787,637.6738486371565,502.39259863715654,3813.6738486371564,3678.3925986371564,103.5,loop,1,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:40.654572+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50876,14,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3474.4521357203485,324.45213572034845,exact-milp/taker,GRB,OPTIMAL,3474.4521357203485,3474.4521357203485,0.0,3102.0,372.45213572034845,9.087007522583008,0.045766592025756836,2350,888,2787,485.68063572034873,405.0663857203487,3635.6806357203486,3555.0663857203485,98.3,loop,2,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:48.687650+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50876,14,syn-s0-n12,00b39b5d48ce,12,6,5fc0b4ab33b1,d78561176c8e,3,176.0,103.5,3176.0,3543.111348637157,367.1113486371569,exact-milp/taker,GRB,OPTIMAL,3543.111348637157,3543.111348637157,0.0,3101.999999999999,441.1113486371578,7.904461622238159,0.043593645095825195,2350,888,2787,637.6738486371565,502.39259863715654,3813.6738486371564,3678.3925986371564,103.5,loop,3,1.0,,,,cycle,2
