cell,seed,n_trips,slot,kind,tie_margin,economic,load_l1,load_jump_slot,delta_lo,delta_hi,schedule_changed,margin_b_at_a,margin_a_at_b
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.37,-0.36,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.24,-0.23,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.23,-0.22,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.22,-0.21,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.2,-0.19,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.18,-0.17,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.17,-0.16,True,,
s2_n8_slot12,2,8,12,duty_change,False,True,53.2,-26.6,0.14,0.15,True,0.2195977237,0.04640227627
s2_n8_slot16,2,8,16,duty_change,False,True,20.9,-20.9,-1.36,-1.35,True,0.04286735717,0.05013264283
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.27,-1.26,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.25,-1.24,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.2,-1.19,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.13,-1.12,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.12,-1.11,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.07,-1.06,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.06,-1.05,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.05,-1.04,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-1.01,-1,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.99,-0.98,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.96,-0.95,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.94,-0.93,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.8,-0.79,True,,
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.79,-0.78,True,,
s2_n8_slot16,2,8,16,duty_change,False,True,53.2,-26.6,-0.76,-0.75,True,0.1769680316,0.08903196841
s2_n8_slot16,2,8,16,degenerate_tie,False,False,0,0,-0.61,-0.6,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.45,-1.44,True,,
