lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
3168.29725389,3168.29792912,0.0107341328676,a2,15,8,0.05,certified,True,0.00067522573454,28,28,0,27,0,0,24.9246559143,0,24.9246559143,11.9072620869,179.614688,4.273736,28,-0.00994109286739,0.000734132867365,3168.29798803,0.01,0.01,240,GRB,unknown,d89c672
3532.42160527,3532.42185193,0.0110412878694,a2,0,12,0.05,certified,True,0.000246660362336,17,17,0,16,0,0,391.945730925,0,391.945730925,324.558474541,157.428153,4.273736,17,-0.0092053724934,0.00104128786916,3532.42264656,0.01,0.01,240,GRB,unknown,d89c672
3503.64122629,3503.64200594,0.0443947068002,a2,1,12,0.05,certified,True,0.000779652906203,22,22,0,21,0,0,3531.14633226,0,3531.14633226,2540.46055532,176.258368488,4.67803378956,22,0.0236150538935,0.0343947068,3503.675621,0.01,0.01,240,GRB,1.17.6,84a5ead
2682.34811233,2682.34848277,2.18710333483,a2,2,12,0.05,certified,True,0.000370432257114,19,19,0,18,0,0,41.8472692966,0,41.8472692966,34.8007438183,163.116594783,5.42082493846,19,2.16673290257,2.17710333483,2684.52521567,0.01,0.01,240,GRB,1.17.6,84a5ead
4338.71359147,4338.71402911,0.0105869485496,a2,3,12,0.05,certified,True,0.000437644999693,24,24,0,23,0,0,5618.0095017,0,5618.0095017,6330.93285561,168.278014827,4.4653875323,24,-0.00985069645048,0.000586948549426,4338.71417842,0.01,0.01,240,GRB,1.17.6,84a5ead
3433.70971759,3433.71002946,5.28821610301,a2,4,12,0.05,certified,True,0.000311871645863,25,25,0,24,0,0,4679.38688874,0,4679.38688874,3643.49622035,179.777537831,4.86128574582,25,5.26790423137,5.27821610301,3438.98793369,0.01,0.01,240,GRB,1.17.6,84a5ead
3501.55652027,3501.55751794,12.9647868702,a2,5,12,0.05,certified,True,0.000997675845156,24,24,0,23,0,0,1997.24198842,0,1997.24198842,2460.76748276,189.207347881,4.98186078176,24,12.9437891944,12.9547868702,3514.51130714,0.01,0.01,240,GRB,1.17.6,84a5ead
2680.09775962,2680.09823225,7.3359884378,a2,6,12,0.05,certified,True,0.000472634051675,25,25,0,24,0,0,54.4548959732,0,54.4548959732,86.2617595196,170.097798304,5.02835726649,25,7.31551580375,7.3259884378,2687.42374805,0.01,0.01,240,GRB,1.17.6,84a5ead
3353.48984183,3353.49015822,0.208530868154,a2,7,12,0.05,certified,True,0.000316390906846,28,28,0,27,0,0,2694.2377398,0,2694.2377398,1509.73316383,185.56363493,5.88492029329,28,0.188214477247,0.198530868154,3353.68837269,0.01,0.01,240,GRB,1.17.6,84a5ead
3477.46881575,3477.46920942,9.07664920418,a2,8,12,0.05,certified,True,0.000393672053178,21,21,0,20,0,0,211.78912425,0,211.78912425,245.550933361,155.42899074,4.99153986455,21,9.05625553213,9.06664920418,3486.53546495,0.01,0.01,240,GRB,1.17.6,84a5ead
2744.33958059,2744.34014798,10.5290439781,a2,9,12,0.05,certified,True,0.000567391429286,20,20,0,19,0,0,47.1621661186,0,47.1621661186,38.6141440868,175.942831944,5.34509456355,20,10.5084765867,10.5190439781,2754.85862457,0.01,0.01,240,GRB,1.17.6,84a5ead
3408.90120258,3408.90194836,5.01300984855,a2,10,12,0.05,certified,True,0.000745784727314,34,34,0,33,0,0,7507.06316853,0,7507.06316853,3362.3108716,213.825075322,4.47217321713,34,4.99226406382,5.00300984855,3413.90421243,0.01,0.01,240,GRB,1.17.6,84a5ead
4224.20476991,4224.20514222,0.216940776048,a2,11,12,0.05,certified,True,0.000372309082195,23,23,0,22,0,0,903.323858976,0,903.323858976,713.502729177,161.242981,4.273736,23,0.196568466965,0.206940776047,4224.41171069,0.01,0.01,240,GRB,unknown,d89c672
3331.45880038,3331.45919404,7.79966071484,a2,12,12,0.05,certified,True,0.000393664364765,30,30,0,29,0,0,3228.77150464,0,3228.77150464,1959.47286367,189.752912952,4.47061078176,30,7.77926705047,7.78966071484,3339.24846109,0.01,0.01,240,GRB,1.17.6,84a5ead
4288.61483155,4288.61575621,0.0116557221536,a2,13,12,0.05,certified,True,0.000924664526792,30,30,0,29,0,0,1106.09541416,0,1106.09541416,790.757882595,232.871967774,16.7404646545,30,-0.00926894237364,0.00165572215337,4288.61648727,0.01,0.01,240,GRB,1.17.6,84a5ead
3464.28682878,3464.28733951,1.32628740486,a2,14,12,0.05,certified,True,0.000510726493303,20,20,0,19,0,0,227.995800734,0,227.995800734,329.315008879,176.46546987,4.83096663337,20,1.30577667837,1.31628740486,3465.60311619,0.01,0.01,240,GRB,1.17.6,84a5ead
3459.66169036,3459.6620862,5.38609567381,a2,15,12,0.05,certified,True,0.000395843679144,29,29,0,28,0,0,255.836724997,0,255.836724997,203.84904933,194.950943,4.984406,29,5.36569983013,5.37609567381,3465.03778603,0.01,0.01,240,GRB,unknown,d89c672
3130.61594736,3130.61644312,0.0104322570555,a3,0,8,0.01,certified,True,0.000495758056786,34,18,16,18,2,14,9.18797230721,11.7277700901,20.9157423973,4.68603610992,0.823875602576,0.272955769942,17,-0.0100635010017,0.000432257055309,3130.61637962,0.01,0.01,240,GRB,1.17.6,167297a
3090.63675529,3090.63675529,0.0100000000002,a3,1,8,0.01,certified,True,0,20,11,9,11,1,8,3.73457741737,5.53024721146,9.26482462883,1.68200874329,0.669594144287,0.157071134427,10,-0.0100000000002,0,3090.63675529,0.01,0.01,240,GRB,1.17.6,84a5ead
3146.5053266,3146.50575846,0.30265902286,a3,2,8,0.01,certified,True,0.00043186035191,46,24,22,25,2,20,20.4621992111,24.7845389843,45.2467381954,8.31119179726,1.82573358095,0.266,23,0.282227162507,0.292659022859,3146.79798562,0.01,0.01,240,GRB,1.17.6,84a5ead
3128.0130805,3128.01349627,0.0106038195236,a3,3,8,0.01,certified,True,0.000415777097714,46,24,22,28,2,20,28.2594168186,28.866363287,57.1257801056,8.39417815208,1.07140834184,0.260999841076,23,-0.00981195757458,0.000603819523349,3128.01368432,0.01,0.01,240,GRB,1.17.6,84a5ead
2176.93296032,2176.93347362,0.0110893932133,a3,4,8,0.01,certified,True,0.000513305664299,62,32,30,33,3,27,29.9270970821,28.0315654278,57.9586625099,7.8296546936,2.37940053724,0.273405188895,31,-0.00942391245144,0.00108939321308,2176.93404971,0.01,0.01,240,GRB,1.17.6,84a5ead
2214.96912998,2214.96963623,0.0106870856257,a3,5,8,0.01,certified,True,0.000506250000399,20,11,9,12,2,7,4.30429911613,3.46747875214,7.77177786827,3.85157465935,1.67530747605,0.314,10,-0.00981916437513,0.000687085625486,2214.96981707,0.01,0.01,240,GRB,1.17.6,84a5ead
2153.79335802,2153.79434357,0.0109725008597,a3,6,8,0.01,certified,True,0.000985546875199,34,18,16,19,3,13,11.2452018261,12.7232863903,23.9684882164,6.81775069237,1.77985652082,0.464,17,-0.010013046016,0.000972500859461,2153.79433052,0.01,0.01,240,GRB,1.17.6,84a5ead
2155.99959399,2156.00004452,0.147207977371,a3,7,8,0.01,certified,True,0.000450534123502,24,13,11,14,3,8,6.47930574417,6.13320469856,12.6125104427,2.99680805206,1.51247952327,0.325,12,0.126757443247,0.137207977371,2156.13680197,0.01,0.01,240,GRB,1.17.6,84a5ead
2148.84418057,2148.84493497,1.77876502904,a3,8,8,0.01,certified,True,0.000754400634833,50,26,24,27,2,22,11.1729705334,10.393071413,21.5660419464,3.93029093742,1.3040366742,0.16694720153,25,1.75801062841,1.76876502904,2150.6129456,0.01,0.01,240,GRB,1.17.6,84a5ead
2173.58694474,2173.58752825,0.010984479487,a3,9,8,0.01,certified,True,0.000583508300679,50,26,24,27,3,21,20.2015254498,20.0539095402,40.2554349899,6.04633426666,2.29267403277,0.281,25,-0.00959902881414,0.00098447948676,2173.58792922,0.01,0.01,240,GRB,1.17.6,84a5ead
2154.57748557,2154.57773324,0.585995203675,a3,10,8,0.01,certified,True,0.000247675057835,18,10,8,13,4,4,2.75133943558,2.53433537483,5.28567481041,3.78929758072,2.32260349919,0.487,9,0.565747528617,0.575995203675,2155.15348077,0.01,0.01,240,GRB,1.17.6,84a5ead
3132.32954328,3132.32954328,0.0100000000002,a3,11,8,0.01,certified,True,0,26,14,12,14,1,11,5.57529354095,5.10712075233,10.6824142933,1.07791042328,0.963191091766,0.157071134427,13,-0.0100000000002,0,3132.32954328,0.01,0.01,240,GRB,1.17.6,167297a
2170.77461939,2170.77516397,0.589694249693,a3,12,8,0.01,certified,True,0.000544585281204,30,16,14,21,7,7,9.6150405407,8.89362025261,18.5086607933,5.42980933189,2.06470485856,0.434,15,0.569149664411,0.579694249693,2171.35431364,0.01,0.01,240,GRB,1.17.6,84a5ead
4086,4086,0.0100000000002,a3,13,8,0.01,certified,True,0,2,2,0,1,0,0,0.22350025177,0,0.22350025177,0.17776799202,0,0,1,-0.0100000000002,0,4086,0.01,0.01,240,GRB,1.17.6,84a5ead
2156.76547954,2156.76572919,0.010343371463,a3,14,8,0.01,certified,True,0.00024965057446,42,22,20,23,3,17,11.6728394032,10.4690535069,22.14189291,4.02950668335,2.56058328868,0.498,21,-0.00990627911187,0.000343371462804,2156.76582291,0.01,0.01,240,GRB,1.17.6,84a5ead
3135.03792069,3135.03850056,0.0118284410669,a3,15,8,0.01,certified,True,0.000579869079047,62,32,30,33,4,26,20.4637200832,17.1960895061,37.6598095894,4.90559911728,1.45901184181,0.233,31,-0.0087514280126,0.00182844106666,3135.03974913,0.01,0.01,240,GRB,1.17.6,167297a
3293.46779961,3293.46822872,0.0117494696874,a3,0,12,0.01,certified,True,0.000429109192282,18,10,8,13,5,3,42.6727287769,42.9888494015,85.6615781784,46.6222593784,2.22138098868,0.343,9,-0.00867963950532,0.00174946968718,3293.46954908,0.01,0.01,240,GRB,1.17.6,167297a
3291.81130273,3291.81193829,0.0138778924379,a3,1,12,0.01,certified,True,0.000635558478734,32,17,15,24,7,8,846.707113981,1344.93526649,2191.64238048,647.906859398,2.02423651815,0.481264752904,16,-0.00675766604127,0.00387789243769,3291.81518062,0.01,0.01,240,GRB,1.17.6,84a5ead
